CNES - Equipes de Saúde - Brasil
Quantidade por Município
Tipo da Equipe: 01 ESF - EQUIPE DE SAUDE DA FAMILIA, 24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I, 27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II, 30 ESF3      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO III, 33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV, 70 ESF - EQUIPE DE SAUDE DA FAMILIA
Período:Jun/2010
"Município";"Quantidade"
"220552 JULIO BORGES";1
"220553 JUREMA";-
"220554 LAGOINHA DO PIAUI";-
"220555 LAGOA ALEGRE";-
"220556 LAGOA DO BARRO DO PIAUI";1
"220557 LAGOA DE SAO FRANCISCO";1
"220558 LAGOA DO PIAUI";-
"220559 LAGOA DO SITIO";-
"220560 LANDRI SALES";-
"220570 LUIS CORREIA";2
"220580 LUZILANDIA";2
"220585 MADEIRO";-
"220590 MANOEL EMIDIO";-
"220595 MARCOLANDIA";-
"220600 MARCOS PARENTE";-
"220605 MASSAPE DO PIAUI";-
"220610 MATIAS OLIMPIO";-
"220620 MIGUEL ALVES";4
"220630 MIGUEL LEAO";-
"220635 MILTON BRANDAO";-
"220640 MONSENHOR GIL";-
"220650 MONSENHOR HIPOLITO";-
"220660 MONTE ALEGRE DO PIAUI";1
"220665 MORRO CABECA NO TEMPO";-
"220667 MORRO DO CHAPEU DO PIAUI";-
"220669 MURICI DOS PORTELAS";-
"220670 NAZARE DO PIAUI";2
"220672 NAZARIA";-
"220675 NOSSA SENHORA DE NAZARE";-
"220680 NOSSA SENHORA DOS REMEDIOS";-
"220690 NOVO ORIENTE DO PIAUI";-
"220695 NOVO SANTO ANTONIO";-
"220700 OEIRAS";1
"220710 OLHO D'AGUA DO PIAUI";-
"220720 PADRE MARCOS";-
"220730 PAES LANDIM";1
"220735 PAJEU DO PIAUI";-
"220740 PALMEIRA DO PIAUI";-
"220750 PALMEIRAIS";-
"220755 PAQUETA";-
"220760 PARNAGUA";-
"220770 PARNAIBA";18
"220775 PASSAGEM FRANCA DO PIAUI";-
"220777 PATOS DO PIAUI";-
"220779 PAU D'ARCO DO PIAUI";-
"220780 PAULISTANA";2
"220785 PAVUSSU";-
"220790 PEDRO II";-
"220793 PEDRO LAURENTINO";-
"220795 NOVA SANTA RITA";-
"220800 PICOS";-
"220810 PIMENTEIRAS";-
"220820 PIO IX";-
"220830 PIRACURUCA";-
"220840 PIRIPIRI";-
"220850 PORTO";1
"220855 PORTO ALEGRE DO PIAUI";-
"220860 PRATA DO PIAUI";-
"220865 QUEIMADA NOVA";1
"220870 REDENCAO DO GURGUEIA";-
"220880 REGENERACAO";1
"220885 RIACHO FRIO";-
"220887 RIBEIRA DO PIAUI";-
"220890 RIBEIRO GONCALVES";-
"220900 RIO GRANDE DO PIAUI";-
"220910 SANTA CRUZ DO PIAUI";-
"220915 SANTA CRUZ DOS MILAGRES";-
"220920 SANTA FILOMENA";-
"220930 SANTA LUZ";-
"220935 SANTANA DO PIAUI";-
"220937 SANTA ROSA DO PIAUI";-
"220940 SANTO ANTONIO DE LISBOA";-
"220945 SANTO ANTONIO DOS MILAGRES";-
"220950 SANTO INACIO DO PIAUI";-
"220955 SAO BRAZ DO PIAUI";-
"220960 SAO FELIX DO PIAUI";-
"220965 SAO FRANCISCO DE ASSIS DO PIAUI";-
"220970 SAO FRANCISCO DO PIAUI";-
"220975 SAO GONCALO DO GURGUEIA";-
"220980 SAO GONCALO DO PIAUI";-
"220985 SAO JOAO DA CANABRAVA";1
"220987 SAO JOAO DA FRONTEIRA";-
"220990 SAO JOAO DA SERRA";-
"220995 SAO JOAO DA VARJOTA";-
"220997 SAO JOAO DO ARRAIAL";-
"221000 SAO JOAO DO PIAUI";-
"221005 SAO JOSE DO DIVINO";-
"221010 SAO JOSE DO PEIXE";-
"221020 SAO JOSE DO PIAUI";-
"221030 SAO JULIAO";1
"221035 SAO LOURENCO DO PIAUI";-
"221037 SAO LUIS DO PIAUI";-
"221038 SAO MIGUEL DA BAIXA GRANDE";-
"221039 SAO MIGUEL DO FIDALGO";-
"221040 SAO MIGUEL DO TAPUIO";2
"221050 SAO PEDRO DO PIAUI";-
"221060 SAO RAIMUNDO NONATO";-
"221062 SEBASTIAO BARROS";-
"221063 SEBASTIAO LEAL";-
"221065 SIGEFREDO PACHECO";-
"221070 SIMOES";1
"221080 SIMPLICIO MENDES";-
"221090 SOCORRO DO PIAUI";-
"221093 SUSSUAPARA";-
"221095 TAMBORIL DO PIAUI";-
"221097 TANQUE DO PIAUI";-
"221100 TERESINA";58
"221110 UNIAO";-
"221120 URUCUI";2
"221130 VALENCA DO PIAUI";-
"221135 VARZEA BRANCA";-
"221140 VARZEA GRANDE";-
"221150 VERA MENDES";-
"221160 VILA NOVA DO PIAUI";-
"221170 WALL FERRAZ";-
" MUNICIPIO IGNORADO - CE";-
"230010 ABAIARA";-
"230015 ACARAPE";-
"230020 ACARAU";2
"230030 ACOPIARA";3
"230040 AIUABA";1
"230050 ALCANTARAS";3
"230060 ALTANEIRA";-
"230070 ALTO SANTO";2
"230075 AMONTADA";3
"230080 ANTONINA DO NORTE";-
"230090 APUIARES";1
"230100 AQUIRAZ";3
"230110 ARACATI";-
"230120 ARACOIABA";-
"230125 ARARENDA";-
"230130 ARARIPE";-
"230140 ARATUBA";-
"230150 ARNEIROZ";-
"230160 ASSARE";4
"230170 AURORA";2
"230180 BAIXIO";-
"230185 BANABUIU";2
"230190 BARBALHA";1
"230195 BARREIRA";-
"230200 BARRO";-
"230205 BARROQUINHA";1
"230210 BATURITE";-
"230220 BEBERIBE";-
"230230 BELA CRUZ";4
"230240 BOA VIAGEM";2
"230250 BREJO SANTO";-
"230260 CAMOCIM";1
"230270 CAMPOS SALES";5
"230280 CANINDE";8
"230290 CAPISTRANO";-
"230300 CARIDADE";-
"230310 CARIRE";-
"230320 CARIRIACU";1
"230330 CARIUS";3
"230340 CARNAUBAL";-
"230350 CASCAVEL";-
"230360 CATARINA";1
"230365 CATUNDA";1
"230370 CAUCAIA";21
"230380 CEDRO";2
"230390 CHAVAL";-
"230393 CHORO";2
"230395 CHOROZINHO";-
"230400 COREAU";-
"230410 CRATEUS";2
"230420 CRATO";9
"230423 CROATA";-
"230425 CRUZ";1
"230426 DEPUTADO IRAPUAN PINHEIRO";-
"230427 ERERE";-
"230428 EUSEBIO";3
"230430 FARIAS BRITO";1
"230435 FORQUILHA";1
"230440 FORTALEZA";79
"230445 FORTIM";-
"230450 FRECHEIRINHA";2
"230460 GENERAL SAMPAIO";1
"230465 GRACA";3
"230470 GRANJA";-
"230480 GRANJEIRO";-
"230490 GROAIRAS";-
"230495 GUAIUBA";1
"230500 GUARACIABA DO NORTE";3
"230510 GUARAMIRANGA";-
"230520 HIDROLANDIA";3
"230523 HORIZONTE";-
"230526 IBARETAMA";2
"230530 IBIAPINA";1
"230533 IBICUITINGA";-
"230535 ICAPUI";3
"230540 ICO";2
"230550 IGUATU";2
"230560 INDEPENDENCIA";-
"230565 IPAPORANGA";-
"230570 IPAUMIRIM";1
"230580 IPU";2
"230590 IPUEIRAS";-
"230600 IRACEMA";1
"230610 IRAUCUBA";-
"230620 ITAICABA";-
"230625 ITAITINGA";1
"230630 ITAPAGE";4
"230640 ITAPIPOCA";11
"230650 ITAPIUNA";-
"230655 ITAREMA";3
"230660 ITATIRA";1
"230670 JAGUARETAMA";-
"230680 JAGUARIBARA";-
"230690 JAGUARIBE";1
"230700 JAGUARUANA";6
"230710 JARDIM";1
"230720 JATI";-
"230725 JIJOCA DE JERICOACOARA";1
"230730 JUAZEIRO DO NORTE";25
"230740 JUCAS";2
"230750 LAVRAS DA MANGABEIRA";3
"230760 LIMOEIRO DO NORTE";3
"230763 MADALENA";1
"230765 MARACANAU";16
"230770 MARANGUAPE";-
"230780 MARCO";-
"230790 MARTINOPOLE";1
"230800 MASSAPE";5
"230810 MAURITI";1
"230820 MERUOCA";1
"230830 MILAGRES";4
"230835 MILHA";1
"230837 MIRAIMA";-
"230840 MISSAO VELHA";3
"230850 MOMBACA";5
"230860 MONSENHOR TABOSA";1
"230870 MORADA NOVA";7
"230880 MORAUJO";2
"230890 MORRINHOS";4
"230900 MUCAMBO";5
"230910 MULUNGU";-
"230920 NOVA OLINDA";1
"230930 NOVA RUSSAS";-
"230940 NOVO ORIENTE";4
"230945 OCARA";-
"230950 OROS";-
"230960 PACAJUS";3
"230970 PACATUBA";6
"230980 PACOTI";-
"230990 PACUJA";-
"231000 PALHANO";-
"231010 PALMACIA";-
"231020 PARACURU";-
"231025 PARAIPABA";-
"231030 PARAMBU";2
"231040 PARAMOTI";2
"231050 PEDRA BRANCA";-
"231060 PENAFORTE";-
"231070 PENTECOSTE";1
"231080 PEREIRO";-
"231085 PINDORETAMA";-
"231090 PIQUET CARNEIRO";1
"231095 PIRES FERREIRA";-
"231100 PORANGA";1
"231110 PORTEIRAS";2
"231120 POTENGI";1
"231123 POTIRETAMA";1
"231126 QUITERIANOPOLIS";1
"231130 QUIXADA";-
"231135 QUIXELO";-
"231140 QUIXERAMOBIM";3
"231150 QUIXERE";-
"231160 REDENCAO";-
"231170 RERIUTABA";2
"231180 RUSSAS";9
"231190 SABOEIRO";-
"231195 SALITRE";1
"231200 SANTANA DO ACARAU";3
"231210 SANTANA DO CARIRI";-
"231220 SANTA QUITERIA";5
"231230 SAO BENEDITO";2
"231240 SAO GONCALO DO AMARANTE";-
"231250 SAO JOAO DO JAGUARIBE";-
"231260 SAO LUIS DO CURU";1
"231270 SENADOR POMPEU";3
"231280 SENADOR SA";-
"231290 SOBRAL";20
"231300 SOLONOPOLE";-
"231310 TABULEIRO DO NORTE";-
"231320 TAMBORIL";1
"231325 TARRAFAS";1
"231330 TAUA";1
"231335 TEJUCUOCA";2
"231340 TIANGUA";2
"231350 TRAIRI";6
"231355 TURURU";1
"231360 UBAJARA";-
"231370 UMARI";-
"231375 UMIRIM";-
"231380 URUBURETAMA";-
"231390 URUOCA";-
"231395 VARJOTA";1
"231400 VARZEA ALEGRE";7
"231410 VICOSA DO CEARA";-
" MUNICIPIO IGNORADO - RN";-
"240010 ACARI";-
"240020 ACU";5
"240030 AFONSO BEZERRA";-
"240040 AGUA NOVA";-
"240050 ALEXANDRIA";-
"240060 ALMINO AFONSO";-
"240070 ALTO DO RODRIGUES";-
"240080 ANGICOS";-
"240090 ANTONIO MARTINS";-
"240100 APODI";-
"240110 AREIA BRANCA";-
"240120 ARES";1
"240130 AUGUSTO SEVERO";1
"240140 BAIA FORMOSA";-
"240145 BARAUNA";3
"240150 BARCELONA";-
"240160 BENTO FERNANDES";-
"240165 BODO";-
"240170 BOM JESUS";-
"240180 BREJINHO";-
"240185 CAICARA DO NORTE";-
"240190 CAICARA DO RIO DO VENTO";-
"240200 CAICO";3
"240210 CAMPO REDONDO";-
"240220 CANGUARETAMA";-
"240230 CARAUBAS";-
"240240 CARNAUBA DOS DANTAS";-
"240250 CARNAUBAIS";-
"240260 CEARA-MIRIM";-
"240270 CERRO CORA";1
"240280 CORONEL EZEQUIEL";-
"240290 CORONEL JOAO PESSOA";-
"240300 CRUZETA";1
"240310 CURRAIS NOVOS";-
"240320 DOUTOR SEVERIANO";-
"240325 PARNAMIRIM";6
"240330 ENCANTO";-
"240340 EQUADOR";-
"240350 ESPIRITO SANTO";2
"240360 EXTREMOZ";-
"240370 FELIPE GUERRA";-
"240375 FERNANDO PEDROZA";-
"240380 FLORANIA";-
"240390 FRANCISCO DANTAS";-
"240400 FRUTUOSO GOMES";-
"240410 GALINHOS";-
"240420 GOIANINHA";-
"240430 GOVERNADOR DIX-SEPT ROSADO";-
"240440 GROSSOS";-
"240450 GUAMARE";-
"240460 IELMO MARINHO";-
"240470 IPANGUACU";2
"240480 IPUEIRA";-
"240485 ITAJA";-
"240490 ITAU";-
"240500 JACANA";-
"240510 JANDAIRA";-
"240520 JANDUIS";-
"240530 JANUARIO CICCO";-
"240540 JAPI";-
"240550 JARDIM DE ANGICOS";-
"240560 JARDIM DE PIRANHAS";-
"240570 JARDIM DO SERIDO";-
"240580 JOAO CAMARA";-
"240590 JOAO DIAS";-
"240600 JOSE DA PENHA";-
"240610 JUCURUTU";-
"240615 JUNDIA";-
"240620 LAGOA D'ANTA";-
"240630 LAGOA DE PEDRAS";-
"240640 LAGOA DE VELHOS";-
"240650 LAGOA NOVA";-
"240660 LAGOA SALGADA";-
"240670 LAJES";-
"240680 LAJES PINTADAS";-
"240690 LUCRECIA";-
"240700 LUIS GOMES";-
"240710 MACAIBA";-
"240720 MACAU";-
"240725 MAJOR SALES";-
"240730 MARCELINO VIEIRA";-
"240740 MARTINS";-
"240750 MAXARANGUAPE";-
"240760 MESSIAS TARGINO";-
"240770 MONTANHAS";-
"240780 MONTE ALEGRE";-
"240790 MONTE DAS GAMELEIRAS";-
"240800 MOSSORO";-
"240810 NATAL";15
"240820 NISIA FLORESTA";-
"240830 NOVA CRUZ";-
"240840 OLHO-D'AGUA DO BORGES";-
"240850 OURO BRANCO";-
"240860 PARANA";-
"240870 PARAU";-
"240880 PARAZINHO";-
"240890 PARELHAS";2
"240895 RIO DO FOGO";-
"240910 PASSA E FICA";-
"240920 PASSAGEM";-
"240930 PATU";-
"240933 SANTA MARIA";-
"240940 PAU DOS FERROS";-
"240950 PEDRA GRANDE";-
"240960 PEDRA PRETA";-
"240970 PEDRO AVELINO";-
"240980 PEDRO VELHO";-
"240990 PENDENCIAS";-
"241000 PILOES";-
"241010 POCO BRANCO";-
"241020 PORTALEGRE";-
"241025 PORTO DO MANGUE";-
"241030 SERRA CAIADA";-
"241040 PUREZA";-
"241050 RAFAEL FERNANDES";-
"241060 RAFAEL GODEIRO";-
"241070 RIACHO DA CRUZ";-
"241080 RIACHO DE SANTANA";-
"241090 RIACHUELO";-
"241100 RODOLFO FERNANDES";-
"241105 TIBAU";-
"241110 RUY BARBOSA";-
"241120 SANTA CRUZ";-
"241140 SANTANA DO MATOS";-
"241142 SANTANA DO SERIDO";-
"241150 SANTO ANTONIO";-
"241160 SAO BENTO DO NORTE";-
"241170 SAO BENTO DO TRAIRI";-
"241180 SAO FERNANDO";-
"241190 SAO FRANCISCO DO OESTE";-
"241200 SAO GONCALO DO AMARANTE";2
"241210 SAO JOAO DO SABUGI";-
"241220 SAO JOSE DE MIPIBU";-
"241230 SAO JOSE DO CAMPESTRE";-
"241240 SAO JOSE DO SERIDO";-
"241250 SAO MIGUEL";1
"241255 SAO MIGUEL DO GOSTOSO";-
"241260 SAO PAULO DO POTENGI";-
"241270 SAO PEDRO";-
"241280 SAO RAFAEL";-
"241290 SAO TOME";-
"241300 SAO VICENTE";-
"241310 SENADOR ELOI DE SOUZA";-
"241320 SENADOR GEORGINO AVELINO";-
"241330 SERRA DE SAO BENTO";-
"241335 SERRA DO MEL";-
"241340 SERRA NEGRA DO NORTE";-
"241350 SERRINHA";-
"241355 SERRINHA DOS PINTOS";-
"241360 SEVERIANO MELO";-
"241370 SITIO NOVO";-
"241380 TABOLEIRO GRANDE";-
"241390 TAIPU";-
"241400 TANGARA";-
"241410 TENENTE ANANIAS";-
"241415 TENENTE LAURENTINO CRUZ";-
"241420 TIBAU DO SUL";-
"241430 TIMBAUBA DOS BATISTAS";-
"241440 TOUROS";-
"241445 TRIUNFO POTIGUAR";-
"241450 UMARIZAL";1
"241460 UPANEMA";-
"241470 VARZEA";-
"241475 VENHA-VER";-
"241480 VERA CRUZ";-
"241490 VICOSA";-
"241500 VILA FLOR";-
" MUNICIPIO IGNORADO - PB";-
"250010 AGUA BRANCA";-
"250020 AGUIAR";-
"250030 ALAGOA GRANDE";4
"250040 ALAGOA NOVA";-
"250050 ALAGOINHA";-
"250053 ALCANTIL";-
"250057 ALGODAO DE JANDAIRA";-
"250060 ALHANDRA";-
"250070 SAO JOAO DO RIO DO PEIXE";-
"250073 AMPARO";-
"250077 APARECIDA";-
"250080 ARACAGI";-
"250090 ARARA";2
"250100 ARARUNA";-
"250110 AREIA";-
"250115 AREIA DE BARAUNAS";-
"250120 AREIAL";-
"250130 AROEIRAS";-
"250135 ASSUNCAO";-
"250140 BAIA DA TRAICAO";-
"250150 BANANEIRAS";3
"250153 BARAUNA";-
"250157 BARRA DE SANTANA";-
"250160 BARRA DE SANTA ROSA";-
"250170 BARRA DE SAO MIGUEL";-
"250180 BAYEUX";-
"250190 BELEM";-
"250200 BELEM DO BREJO DO CRUZ";1
"250205 BERNARDINO BATISTA";-
"250210 BOA VENTURA";-
"250215 BOA VISTA";-
"250220 BOM JESUS";-
"250230 BOM SUCESSO";-
"250240 BONITO DE SANTA FE";-
"250250 BOQUEIRAO";-
"250260 IGARACY";-
"250270 BORBOREMA";-
"250280 BREJO DO CRUZ";-
"250290 BREJO DOS SANTOS";-
"250300 CAAPORA";-
"250310 CABACEIRAS";-
"250320 CABEDELO";-
"250330 CACHOEIRA DOS INDIOS";-
"250340 CACIMBA DE AREIA";-
"250350 CACIMBA DE DENTRO";1
"250355 CACIMBAS";-
"250360 CAICARA";-
"250370 CAJAZEIRAS";-
"250375 CAJAZEIRINHAS";-
"250380 CALDAS BRANDAO";-
"250390 CAMALAU";-
"250400 CAMPINA GRANDE";38
"250403 CAPIM";-
"250407 CARAUBAS";-
"250410 CARRAPATEIRA";-
"250415 CASSERENGUE";-
"250420 CATINGUEIRA";-
"250430 CATOLE DO ROCHA";-
"250435 CATURITE";-
"250440 CONCEICAO";-
"250450 CONDADO";-
"250460 CONDE";-
"250470 CONGO";-
"250480 COREMAS";-
"250485 COXIXOLA";-
"250490 CRUZ DO ESPIRITO SANTO";1
"250500 CUBATI";-
"250510 CUITE";-
"250520 CUITEGI";-
"250523 CUITE DE MAMANGUAPE";-
"250527 CURRAL DE CIMA";-
"250530 CURRAL VELHO";-
"250535 DAMIAO";-
"250540 DESTERRO";-
"250550 VISTA SERRANA";-
"250560 DIAMANTE";-
"250570 DONA INES";-
"250580 DUAS ESTRADAS";-
"250590 EMAS";-
"250600 ESPERANCA";2
"250610 FAGUNDES";-
"250620 FREI MARTINHO";-
"250625 GADO BRAVO";1
"250630 GUARABIRA";2
"250640 GURINHEM";-
"250650 GURJAO";-
"250660 IBIARA";-
"250670 IMACULADA";-
"250680 INGA";-
"250690 ITABAIANA";-
"250700 ITAPORANGA";-
"250710 ITAPOROROCA";2
"250720 ITATUBA";-
"250730 JACARAU";-
"250740 JERICO";-
"250750 JOAO PESSOA";-
"250760 JUAREZ TAVORA";-
"250770 JUAZEIRINHO";-
"250780 JUNCO DO SERIDO";-
"250790 JURIPIRANGA";-
"250800 JURU";1
"250810 LAGOA";-
"250820 LAGOA DE DENTRO";-
"250830 LAGOA SECA";-
"250840 LASTRO";-
"250850 LIVRAMENTO";2
"250855 LOGRADOURO";-
"250860 LUCENA";-
"250870 MAE D'AGUA";-
"250880 MALTA";-
"250890 MAMANGUAPE";-
"250900 MANAIRA";2
"250905 MARCACAO";-
"250910 MARI";-
"250915 MARIZOPOLIS";-
"250920 MASSARANDUBA";-
"250930 MATARACA";-
"250933 MATINHAS";-
"250937 MATO GROSSO";-
"250939 MATUREIA";-
"250940 MOGEIRO";-
"250950 MONTADAS";-
"250960 MONTE HOREBE";-
"250970 MONTEIRO";-
"250980 MULUNGU";-
"250990 NATUBA";1
"251000 NAZAREZINHO";-
"251010 NOVA FLORESTA";2
"251020 NOVA OLINDA";1
"251030 NOVA PALMEIRA";-
"251040 OLHO D'AGUA";1
"251050 OLIVEDOS";-
"251060 OURO VELHO";-
"251065 PARARI";-
"251070 PASSAGEM";-
"251080 PATOS";-
"251090 PAULISTA";-
"251100 PEDRA BRANCA";1
"251110 PEDRA LAVRADA";-
"251120 PEDRAS DE FOGO";-
"251130 PIANCO";-
"251140 PICUI";-
"251150 PILAR";-
"251160 PILOES";-
"251170 PILOEZINHOS";-
"251180 PIRPIRITUBA";-
"251190 PITIMBU";-
"251200 POCINHOS";-
"251203 POCO DANTAS";-
"251207 POCO DE JOSE DE MOURA";-
"251210 POMBAL";-
"251220 PRATA";-
"251230 PRINCESA ISABEL";-
"251240 PUXINANA";1
"251250 QUEIMADAS";-
"251260 QUIXABA";-
"251270 REMIGIO";-
"251272 PEDRO REGIS";-
"251274 RIACHAO";-
"251275 RIACHAO DO BACAMARTE";-
"251276 RIACHAO DO POCO";-
"251278 RIACHO DE SANTO ANTONIO";-
"251280 RIACHO DOS CAVALOS";-
"251290 RIO TINTO";-
"251300 SALGADINHO";-
"251310 SALGADO DE SAO FELIX";-
"251315 SANTA CECILIA";-
"251320 SANTA CRUZ";-
"251330 SANTA HELENA";-
"251335 SANTA INES";1
"251340 SANTA LUZIA";-
"251350 SANTANA DE MANGUEIRA";-
"251360 SANTANA DOS GARROTES";-
"251365 JOCA CLAUDINO";-
"251370 SANTA RITA";-
"251380 SANTA TERESINHA";-
"251385 SANTO ANDRE";-
"251390 SAO BENTO";-
"251392 SAO BENTINHO";-
"251394 SAO DOMINGOS DO CARIRI";-
"251396 SAO DOMINGOS";-
"251398 SAO FRANCISCO";-
"251400 SAO JOAO DO CARIRI";-
"251410 SAO JOAO DO TIGRE";-
"251420 SAO JOSE DA LAGOA TAPADA";-
"251430 SAO JOSE DE CAIANA";-
"251440 SAO JOSE DE ESPINHARAS";-
"251445 SAO JOSE DOS RAMOS";-
"251450 SAO JOSE DE PIRANHAS";-
"251455 SAO JOSE DE PRINCESA";-
"251460 SAO JOSE DO BONFIM";-
"251465 SAO JOSE DO BREJO DO CRUZ";-
"251470 SAO JOSE DO SABUGI";-
"251480 SAO JOSE DOS CORDEIROS";-
"251490 SAO MAMEDE";-
"251500 SAO MIGUEL DE TAIPU";-
"251510 SAO SEBASTIAO DE LAGOA DE ROCA";-
"251520 SAO SEBASTIAO DO UMBUZEIRO";-
"251530 SAPE";6
"251540 SAO VICENTE DO SERIDO";-
"251550 SERRA BRANCA";-
"251560 SERRA DA RAIZ";-
"251570 SERRA GRANDE";-
"251580 SERRA REDONDA";2
"251590 SERRARIA";-
"251593 SERTAOZINHO";-
"251597 SOBRADO";-
"251600 SOLANEA";2
"251610 SOLEDADE";-
"251615 SOSSEGO";-
"251620 SOUSA";-
"251630 SUME";-
"251640 TACIMA";-
"251650 TAPEROA";-
"251660 TAVARES";3
"251670 TEIXEIRA";-
"251675 TENORIO";-
"251680 TRIUNFO";-
"251690 UIRAUNA";-
"251700 UMBUZEIRO";1
"251710 VARZEA";-
"251720 VIEIROPOLIS";-
"251740 ZABELE";-
" MUNICIPIO IGNORADO - PE";-
"260005 ABREU E LIMA";6
"260010 AFOGADOS DA INGAZEIRA";2
"260020 AFRANIO";-
"260030 AGRESTINA";-
"260040 AGUA PRETA";-
"260050 AGUAS BELAS";4
"260060 ALAGOINHA";3
"260070 ALIANCA";1
"260080 ALTINHO";-
"260090 AMARAJI";2
"260100 ANGELIM";-
"260105 ARACOIABA";3
"260110 ARARIPINA";6
"260120 ARCOVERDE";-
"260130 BARRA DE GUABIRABA";-
"260140 BARREIROS";-
"260150 BELEM DE MARIA";-
"260160 BELEM DE SAO FRANCISCO";4
"260170 BELO JARDIM";5
"260180 BETANIA";-
"260190 BEZERROS";4
"260200 BODOCO";-
"260210 BOM CONSELHO";2
"260220 BOM JARDIM";4
"260230 BONITO";-
"260240 BREJAO";-
"260250 BREJINHO";-
"260260 BREJO DA MADRE DE DEUS";-
"260270 BUENOS AIRES";1
"260280 BUIQUE";4
"260290 CABO DE SANTO AGOSTINHO";14
"260300 CABROBO";-
"260310 CACHOEIRINHA";-
"260320 CAETES";-
"260330 CALCADO";-
"260340 CALUMBI";-
"260345 CAMARAGIBE";33
"260350 CAMOCIM DE SAO FELIX";-
"260360 CAMUTANGA";-
"260370 CANHOTINHO";-
"260380 CAPOEIRAS";1
"260390 CARNAIBA";6
"260392 CARNAUBEIRA DA PENHA";-
"260400 CARPINA";7
"260410 CARUARU";5
"260415 CASINHAS";-
"260420 CATENDE";3
"260430 CEDRO";-
"260440 CHA DE ALEGRIA";-
"260450 CHA GRANDE";-
"260460 CONDADO";-
"260470 CORRENTES";-
"260480 CORTES";-
"260490 CUMARU";4
"260500 CUPIRA";-
"260510 CUSTODIA";1
"260515 DORMENTES";1
"260520 ESCADA";-
"260530 EXU";6
"260540 FEIRA NOVA";4
"260545 FERNANDO DE NORONHA";-
"260550 FERREIROS";-
"260560 FLORES";4
"260570 FLORESTA";-
"260580 FREI MIGUELINHO";2
"260590 GAMELEIRA";3
"260600 GARANHUNS";9
"260610 GLORIA DO GOITA";1
"260620 GOIANA";-
"260630 GRANITO";-
"260640 GRAVATA";4
"260650 IATI";-
"260660 IBIMIRIM";-
"260670 IBIRAJUBA";-
"260680 IGARASSU";5
"260690 IGUARACY";2
"260700 INAJA";1
"260710 INGAZEIRA";-
"260720 IPOJUCA";-
"260730 IPUBI";7
"260740 ITACURUBA";-
"260750 ITAIBA";-
"260760 ILHA DE ITAMARACA";3
"260765 ITAMBE";1
"260770 ITAPETIM";-
"260775 ITAPISSUMA";-
"260780 ITAQUITINGA";-
"260790 JABOATAO DOS GUARARAPES";-
"260795 JAQUEIRA";1
"260800 JATAUBA";2
"260805 JATOBA";-
"260810 JOAO ALFREDO";5
"260820 JOAQUIM NABUCO";-
"260825 JUCATI";-
"260830 JUPI";-
"260840 JUREMA";1
"260845 LAGOA DO CARRO";-
"260850 LAGOA DE ITAENGA";1
"260860 LAGOA DO OURO";-
"260870 LAGOA DOS GATOS";2
"260875 LAGOA GRANDE";3
"260880 LAJEDO";1
"260890 LIMOEIRO";2
"260900 MACAPARANA";3
"260910 MACHADOS";1
"260915 MANARI";-
"260920 MARAIAL";1
"260930 MIRANDIBA";-
"260940 MORENO";3
"260950 NAZARE DA MATA";6
"260960 OLINDA";16
"260970 OROBO";3
"260980 OROCO";1
"260990 OURICURI";6
"261000 PALMARES";-
"261010 PALMEIRINA";-
"261020 PANELAS";-
"261030 PARANATAMA";1
"261040 PARNAMIRIM";-
"261050 PASSIRA";6
"261060 PAUDALHO";5
"261070 PAULISTA";14
"261080 PEDRA";-
"261090 PESQUEIRA";1
"261100 PETROLANDIA";2
"261110 PETROLINA";13
"261120 POCAO";-
"261130 POMBOS";-
"261140 PRIMAVERA";1
"261150 QUIPAPA";-
"261153 QUIXABA";1
"261160 RECIFE";48
"261170 RIACHO DAS ALMAS";2
"261180 RIBEIRAO";-
"261190 RIO FORMOSO";-
"261200 SAIRE";3
"261210 SALGADINHO";-
"261220 SALGUEIRO";1
"261230 SALOA";-
"261240 SANHARO";1
"261245 SANTA CRUZ";1
"261247 SANTA CRUZ DA BAIXA VERDE";1
"261250 SANTA CRUZ DO CAPIBARIBE";6
"261255 SANTA FILOMENA";2
"261260 SANTA MARIA DA BOA VISTA";-
"261270 SANTA MARIA DO CAMBUCA";2
"261280 SANTA TEREZINHA";2
"261290 SAO BENEDITO DO SUL";1
"261300 SAO BENTO DO UNA";5
"261310 SAO CAITANO";-
"261320 SAO JOAO";-
"261330 SAO JOAQUIM DO MONTE";-
"261340 SAO JOSE DA COROA GRANDE";-
"261350 SAO JOSE DO BELMONTE";-
"261360 SAO JOSE DO EGITO";2
"261370 SAO LOURENCO DA MATA";10
"261380 SAO VICENTE FERRER";3
"261390 SERRA TALHADA";4
"261400 SERRITA";-
"261410 SERTANIA";1
"261420 SIRINHAEM";4
"261430 MOREILANDIA";2
"261440 SOLIDAO";-
"261450 SURUBIM";5
"261460 TABIRA";3
"261470 TACAIMBO";-
"261480 TACARATU";3
"261485 TAMANDARE";-
"261500 TAQUARITINGA DO NORTE";1
"261510 TEREZINHA";-
"261520 TERRA NOVA";-
"261530 TIMBAUBA";4
"261540 TORITAMA";5
